DATE,VALUE
1988-01-01,60.2600
1988-02-01,60.5044
1988-03-01,60.6476
1988-04-01,60.9699
1988-05-01,60.9173
1988-06-01,61.0666
1988-07-01,61.1463
1988-08-01,61.4037
1988-09-01,61.1930
1988-10-01,61.5135
1988-11-01,61.6195
1988-12-01,61.8878
1989-01-01,62.0475
1989-02-01,61.7888
1989-03-01,61.9629
1989-04-01,61.9874
1989-05-01,61.5734
1989-06-01,61.6115
1989-07-01,61.0181
1989-08-01,61.5467
1989-09-01,61.3895
1989-10-01,61.3233
1989-11-01,61.5088
1989-12-01,61.8707
1990-01-01,61.4958
1990-02-01,62.0704
1990-03-01,62.4040
1990-04-01,62.3220
1990-05-01,62.4423
1990-06-01,62.6427
1990-07-01,62.5518
1990-08-01,62.7296
1990-09-01,62.8545
1990-10-01,62.3786
1990-11-01,61.6223
1990-12-01,61.1932
1991-01-01,60.9240
1991-02-01,60.5331
1991-03-01,60.2184
1991-04-01,60.3174
1991-05-01,60.9240
1991-06-01,61.5212
1991-07-01,61.5051
1991-08-01,61.5969
1991-09-01,62.1338
1991-10-01,61.9979
1991-11-01,61.9310
1991-12-01,61.7052
1992-01-01,61.3182
1992-02-01,61.7969
1992-03-01,62.2883
1992-04-01,62.7326
1992-05-01,62.9558
1992-06-01,62.9521
1992-07-01,63.4965
1992-08-01,63.1787
1992-09-01,63.3148
1992-10-01,63.8104
1992-11-01,64.0769
1992-12-01,64.0921
1993-01-01,64.4088
1993-02-01,64.6457
1993-03-01,64.6214
1993-04-01,64.8160
1993-05-01,64.5884
1993-06-01,64.7227
1993-07-01,64.9215
1993-08-01,64.8955
1993-09-01,65.2022
1993-10-01,65.6822
1993-11-01,65.9480
1993-12-01,66.2804
1994-01-01,66.5468
1994-02-01,66.5809
1994-03-01,67.2653
1994-04-01,67.6227
1994-05-01,67.9940
1994-06-01,68.4460
1994-07-01,68.5541
1994-08-01,68.9440
1994-09-01,69.1631
1994-10-01,69.7669
1994-11-01,70.2129
1994-12-01,70.9458
1995-01-01,71.0841
1995-02-01,71.0389
1995-03-01,71.1524
1995-04-01,71.1219
1995-05-01,71.3093
1995-06-01,71.5697
1995-07-01,71.2942
1995-08-01,72.2334
1995-09-01,72.5002
1995-10-01,72.3714
1995-11-01,72.5587
1995-12-01,72.8395
1996-01-01,72.3593
1996-02-01,73.5136
1996-03-01,73.3994
1996-04-01,74.0141
1996-05-01,74.5297
1996-06-01,75.1926
1996-07-01,75.0932
1996-08-01,75.5821
1996-09-01,75.9835
1996-10-01,75.9867
1996-11-01,76.6111
