Date,Open,High,Low,Close,Volume,Adj Close
3/28/2013,87.05,87.98,86.65,86.97,6213400,86.97
3/27/2013,86.43,87.16,85.8,86.9,4838700,86.9
3/26/2013,87.06,87.39,86.66,87,4173000,87
3/25/2013,87.93,87.96,86.05,86.64,6685300,86.64
3/22/2013,87.01,87.63,86.97,87.48,5115500,87.48
3/21/2013,86.43,87.32,86.43,86.83,5449600,86.83
3/20/2013,87.61,87.88,86.42,86.94,9389000,86.94
3/19/2013,89.4,89.4,87.44,88.27,7509300,88.27
3/18/2013,87.89,90.02,87.67,89.36,7159800,89.36
3/15/2013,88.61,89.25,88.11,88.83,7379400,88.83
3/14/2013,89.47,89.55,88.17,88.7,7328500,88.7
3/13/2013,89.8,89.91,89.13,89.28,5836100,89.28
3/12/2013,91.16,91.16,89.4,89.74,6593300,89.74
3/11/2013,90.49,91.52,90.1,91.18,4846300,91.18
3/8/2013,90.43,90.72,90.01,90.51,5084900,90.51
3/7/2013,89.9,90.4,89.27,89.65,4738200,89.65
3/6/2013,90.97,91.05,89.41,89.64,7135900,89.64
3/5/2013,90.49,91.28,89.99,90.21,5352500,90.21
3/4/2013,90.61,90.75,89.19,89.75,6350500,89.75
3/1/2013,91.54,91.96,90.13,91.36,4924400,91.36
2/28/2013,92.49,93.16,92.23,92.37,5446500,92.37
2/27/2013,90.06,92.36,90.06,92.25,6147300,92.25
2/26/2013,89.59,90.2,88.5,89.95,7114200,89.95
2/25/2013,91.81,92.22,89.08,89.16,7540300,89.16
2/22/2013,91.99,92.49,91.05,91.54,5851800,91.54
2/21/2013,92.76,92.79,90.57,91.53,7193400,91.53
2/20/2013,95,95.1,93.05,93.22,8570800,93.22
2/19/2013,95.74,96.37,95.13,95.6,4368800,95.6
2/15/2013,96.26,96.42,95.29,95.61,4377200,95.61
2/14/2013,96.06,96.68,95.68,96.07,3586300,96.07
2/13/2013,97.09,97.5,96.02,96.38,3718500,96.38
2/12/2013,96.67,97.41,96.67,97.22,4149000,97.22
2/11/2013,96.96,96.99,96.3,96.6,2739200,96.6
2/8/2013,96.1,97.5,96.1,96.85,3934200,96.85
2/7/2013,97.42,98.16,95.21,96.11,6210100,96.11
2/6/2013,97.87,98.75,97.36,97.7,4489600,97.7
2/5/2013,98.58,99.1,98.32,98.44,4178000,98.44
2/4/2013,98.76,98.87,97.91,98.26,5765000,98.26
2/1/2013,99,99.7,98.95,99.49,6138500,99.49
1/31/2013,97.99,98.71,97.9,98.39,7154500,98.39
1/30/2013,98.83,98.96,98.25,98.65,5681000,98.65
1/29/2013,97.92,99.2,97.72,98.6,6961900,98.6
1/28/2013,98.06,98.74,96.43,97.45,15997500,97.45
1/25/2013,95.92,96.28,94.66,95.58,8902700,95.58
1/24/2013,96,97.74,96,96.6,5816300,96.6
1/23/2013,97.48,97.72,96.6,96.85,4971000,96.85
1/22/2013,96.39,97.73,96.05,97.72,8330100,97.72
1/18/2013,96.43,97.62,96.09,97.62,8330900,97.62
1/17/2013,95.71,96.29,95.09,95.7,4824100,95.7
1/16/2013,95.1,95.67,94.83,95.19,3809700,95.19
1/15/2013,94.21,95.83,94.18,95.67,4789800,95.67
1/14/2013,95.32,95.48,94.15,94.63,3685800,94.63
1/11/2013,94.56,95.39,94.12,95.19,4288500,95.19
